"Metabolite","Penalized_coeff","Beta","SE","P","P_fdr"
"C18_QI13141",-0.0178340316890033,-0.0584582929941362,0.0129027826453626,5.98312938908436e-06,5.38481645017593e-05
"PC 38:1",-2.38928457952232e-06,-0.069400729084254,0.0153799340264166,6.50544578766688e-06,5.52962891951685e-05
"C18_QI13137",-0.0147910842799088,-0.0584694330347649,0.012993260513778,6.91241158330569e-06,5.5663103802409e-05
"PC 40:9",-0.00479804381513205,-0.0605720854974059,0.0135644182264546,8.11094391482625e-06,6.20487209484208e-05
"C8_QI7914",-4.06322368564035e-05,-0.062913151070801,0.0141405895882059,8.75341313429528e-06,6.37748671212942e-05
"HILIC_QI06581",0.000113089870520529,-0.0601578567430167,0.01357825859993,9.5421484726437e-06,6.63613052870221e-05
"C8_QI8783",-1.05843744290201e-05,-0.0626073167654127,0.0143216093728462,1.25131220233233e-05,8.3239463894281e-05
"LPC 22:6/0:0",0.000544462973487677,-0.0587452136077326,0.0140074449108281,2.77546636757546e-05,0.000176935980932935
"C18_QI13138",-0.0126941501206409,-0.0536571167870227,0.0130158679984924,3.79535285223105e-05,0.00023227559455654
"C18_QI13637",-0.0202029984090848,-0.0527273390627388,0.012987492162392,4.96635164492045e-05,0.000292250692951088
"PC 38:6",-0.00611002200398689,-0.0555724261843241,0.0137349123880456,5.26275173947267e-05,0.000298222598570118
"CE 22:6",-0.00120768267026727,-0.0538232614519582,0.013344960292081,5.558862040177e-05,0.000303752104338243
"C18_QI11070",0.000365915018228775,-0.0555559275393172,0.0142393730180676,9.64378093374919e-05,0.000508792580297802
"C18_QI13639",-0.0185300627267025,-0.0503273550160587,0.0130062897819235,0.000110114308965291,0.000561582975722986
"C18_QI11017",0.000345305154167456,-0.0547050112913908,0.014196769056359,0.000117525763335837,0.000580046509367195
"PC 40:6",-0.00216686090478253,-0.0525208198447816,0.0137570480002968,0.000135804443374032,0.000629638782915965
"C18_QI11750",0.000355770062228513,-0.054332222185504,0.0142180815213994,0.000133842594095813,0.000629638782915965
"C18_QI11755",0.000355757279365761,-0.0539684107438493,0.0142367601300708,0.000151404462222697,0.00066266184189449
"C18_QI13468",1.45230382127352e-05,-0.0473986747302535,0.0125051829016589,0.000151690548446149,0.00066266184189449
"C18_QI13627",-0.00699988612014584,-0.049963071789621,0.0132051866454508,0.000155920433386939,0.00066266184189449
"C8_QI8223",4.32670296670052e-05,0.050988685546838,0.0135151480650342,0.000162858129902548,0.000673440375002427
"C18_QI11743",0.000362170359586926,-0.0525310390576618,0.0142056019695923,0.000219001422647177,0.000881768885921529
"C8_QI3338",0.000153620328373954,-0.0515771794715008,0.0140795052996085,0.000250785740611245,0.000972279611750634
"C18_QI11740",0.000312570697896145,-0.0522222767360508,0.0142690784125804,0.0002541907481701,0.000972279611750634
"C18_QI13636",-0.0163960754357508,-0.0473717554011,0.0132107083521017,0.000338301248248281,0.0012624412434631
"SM 44:3;O2",9.70716762181803e-05,-0.048874138274798,0.0139806961027064,0.000475478497011927,0.00173210023911488
"C18_QI11584",-1.88626191056764e-05,-0.0495504986318843,0.0143164505717394,0.000541035904055273,0.00188132939364674
"HILIC_QI18275",5.01898657240624e-05,-0.0497025706359269,0.0143554887993505,0.000538689584420112,0.00188132939364674
"CAR 16:4",3.53322641867212e-05,-0.0470795506284215,0.0136794466927439,0.000581417864383855,0.00197682073890511
"C8_QI8146",-0.00698477024557977,-0.0443376111555806,0.0129369768755001,0.000613380644219672,0.00204015736012195
"C18_QI18689",0.00180205239097114,0.0406111541710579,0.0119861913013027,0.000708363014073962,0.00230594768411311
"C8_QI3679",0.000217863322380067,-0.0454467127491733,0.0135170133995469,0.000777329901166425,0.00247773905996798
"C8_QI3670",3.80696967871904e-05,-0.0453910551706543,0.0137297522928538,0.000950906988778995,0.00296915855679972
"C8_QI4968",1.00119394952357e-05,-0.0470619946715868,0.0145330867883192,0.00120793672501878,0.00369628637855747
"PC 39:6",0.000589630513177651,-0.0448833332346689,0.0139571926749341,0.00130667607084174,0.00382781899311194
"PS 34:0",0.000264980840733978,-0.0468892236330173,0.0146003624414051,0.00132597651395381,0.00382781899311194
"C18_QI11587",-1.02412865125062e-05,-0.0462006784685147,0.0143719911525219,0.00131171783129824,0.00382781899311194
"CAR 13:0",0.000117569719903217,-0.0414873188223789,0.0130455081163427,0.0014780421452924,0.00418778607832846
"C18_QI17491",0.000135952183526203,-0.0431520679622989,0.0136144026603204,0.00153274284904735,0.00419693400012885
"C18_QI20356",0.0103009049422463,0.0352811991643989,0.0111319408919264,0.00153613270592951,0.00419693400012885
"SM 44:2;O2",0.000126301754602033,-0.0442421347142781,0.0141316048163275,0.00175078546686798,0.00469947677948773
"HILIC_QI04038",5.97252675007134e-05,0.0366368283995237,0.011762032297187,0.00184943801356739,0.00487868993234155
"PC 34:5",-8.70848298709641e-06,-0.0463038381188809,0.0149284475575342,0.00193109933057738,0.00500776606064981
"TG 54:8",1.216304267587e-05,-0.0449185969416322,0.0146212605896254,0.0021330217542406,0.00543920547331354
"C18_QI10880",6.18708848272581e-05,-0.0436493095769139,0.0143918701121205,0.00243045308100004,0.00609605444906568
"C18_QI13642",-0.0175935518648252,-0.0401649578966607,0.0133463212170961,0.00262658855977377,0.00648174273621592
"HILIC_QI03413",-7.52491379881192e-05,0.0404878581816774,0.0135664707740039,0.00285101177345673,0.00692388573553776
"C8_QI4993",0.000300763010626232,-0.040349048668427,0.013789160371699,0.00344252414652578,0.00798818726317027
"C8_QI7229",0.000302000529634492,-0.0416794100912361,0.0142453258418928,0.00344588470175972,0.00798818726317027
"C18_QI19592",0.0030170635865557,0.0311196649578265,0.0106013667078301,0.0033457722265341,0.00798818726317027
"C8_QI3325",0.000228150209437314,-0.0431241416883756,0.0147824961379081,0.00354193418333408,0.00808829746343453
"TG 56:9",0.000381729544978659,-0.0389144858077782,0.0138722773946275,0.00504198377335079,0.0111800509756909
"TG 58:9",0.000306976485334988,-0.03855758642299,0.0137222367051653,0.00496934075726649,0.0111800509756909
"TG 56:10",1.33586132780603e-05,-0.0400945868790095,0.0143550461786443,0.00523460062803527,0.0114413413727057
"DHA",-0.00622933101561425,-0.0355705773932611,0.0129500185485053,0.00603401459401092,0.0130028765194883
"C18_QI14104",1.73610063697129e-05,-0.0390066464497517,0.014279743178193,0.00631895106407368,0.0134277710111566
"C8_QI11020",7.43434229580458e-05,-0.0362090718447497,0.0135149879605848,0.00739711748969107,0.0155035476153799
"C18_QI19930",0.000426155452202252,-0.0360444391804918,0.0135899546829753,0.00801243976548151,0.0165662605961983
"PC 42:5",3.83351903422407e-05,-0.0385040731466839,0.0148559838871638,0.00956561505812386,0.0195138547185727
"Eicosapentaenoic acid",0.000139877798545854,-0.0351420822181953,0.0135884021012608,0.00972398784953482,0.0195759229076161
"C18_QI18681",0.000477301695478871,-0.0359220268369837,0.0140343039445087,0.0104995002238807,0.0207937513211843
"C18_QI19857",0.0128221457984808,0.0305480356849555,0.011949718432577,0.0106007359676626,0.0207937513211843
"TG 54:9",9.59410293684265e-05,-0.0369552244998114,0.0147126440336768,0.0120329595735784,0.02330433942731
"C8_QI9896",-0.00156663918310955,-0.0337361312174588,0.0136341554456943,0.0133689454855188,0.0255681082410547
"C18_QI47166",6.40913820470698e-05,-0.0321597298300965,0.0131127010301554,0.0142073507436561,0.0268361069602393
"C18_QI21046",0.000725621201019653,-0.0307217946381869,0.0128543239668226,0.0168758178645536,0.0314878065033743
"TG 58:11",0.000125074511163292,-0.0321659148201327,0.0138795250928158,0.0205034097918952,0.0377954421465056
"C18_QI16352",0.000283003629176698,-0.0309576612836689,0.013561407526072,0.0224727028381429,0.0409324230266174
"HILIC_QI04484",0.000293209282490776,-0.0316218531124439,0.0139638630429563,0.0235690283532595,0.0424242510358672
"C18_QI46396",0.000240004309102606,-0.0301565278973127,0.0136342889522184,0.0270100871776621,0.0480528295137477
"C8_QI8300",3.50416781165866e-05,-0.0323585738121645,0.0148706076420554,0.0295861119611016,0.0520307486212476
"C18_QI49714",0.000442729367782715,-0.0299275788049607,0.013820431472566,0.030384491377894,0.0528275816002021
"C8_QI3326",0.000129032190296338,-0.0323099955662316,0.0149842328690717,0.0310947732600178,0.0534550596492441
"TG 58:7_A",1.70067966330341e-06,-0.0311616604209602,0.014919320025004,0.0367714095710413,0.0623097512868112
"C18_QI49700",0.000383627715995172,-0.0287414855067339,0.0137817172116719,0.0370600481509792,0.0623097512868112
"C18_QI49706",0.000402090003123109,-0.0285205669911128,0.0137752582034554,0.0384477152605386,0.0639402221180696
"C18_QI49716",0.000522586676900435,-0.028453736769614,0.0138403997742838,0.0398323686471078,0.0655306710000807
"TG 60:12",0.000202249807544769,-0.0273195340982575,0.0135249029222798,0.0434257716960006,0.0706823730796605
"C18_QI49721",0.000467698860166207,-0.0278575685533984,0.013916461890078,0.0453458272536466,0.0730306481032414
"C8_QI8941",3.85130792907439e-05,-0.0301244759739246,0.0151696696202425,0.0470878008477189,0.075046182601052
"C18_QI49710",0.000508588245397844,-0.0271808018002298,0.0138595924946663,0.0498984532073848,0.0779026871503048
"C18_QI49733",0.000377508361356839,-0.0274406237868366,0.0139671856272164,0.0494922558723217,0.0779026871503048
"TG 52:7",-1.56111379890443e-05,-0.0293189463064931,0.0151250870016464,0.0526086720472794,0.0813043113457954
"C8_QI3698",0.000120288498711513,-0.0283543873173829,0.0147004817335909,0.0537937999330646,0.0823045138975888
"HILIC_QI14027",0.000132237773320243,-0.0261130539985264,0.0135824324610458,0.0545757927421533,0.0826742206886085
"TG 56:8",0.000495586995183247,-0.0260394135748918,0.0136585119045329,0.0566297490073112,0.0842926571635107
"PC P-36:5 or PC O-36:6",0.000407158992917366,0.0280610740422649,0.0147259250431418,0.0567460371754353,0.0842926571635107
"C18_QI49720",0.000514097386275223,-0.0260810682914876,0.0138632615401602,0.0599692474060112,0.0882239889723049
"11-methyl lauric acid",0.000279177782513017,-0.0261635283666188,0.014011168398482,0.0618953409829275,0.0896358392978561
"C18_QI46395",0.0001100921526116,-0.0255067560310486,0.0137008335224667,0.0626865019926183,0.0896358392978561
"HILIC_QI14871",0.000265490887047895,-0.0245327454307118,0.0131702682430803,0.0625413380513977,0.0896358392978561
"C18_QI19734",0.0021153449515197,0.02114804037794,0.0122479665361462,0.0842802830402358,0.119397067640334
"TG 58:10",0.000280459566842955,-0.0228734812066795,0.0134924524411726,0.0900651701028405,0.126421752529675
"TG 52:8",-3.89629884224075e-07,-0.0247758758648375,0.0149519478593249,0.0975551846073947,0.13569039313574
"TG 56:7",0.00045852258489285,-0.0226579523158767,0.0139753264896123,0.105001779997078,0.14217055167746
"C18_QI20106",-7.90777403898832e-06,-0.0230412577293565,0.0141965378035484,0.104627635407804,0.14217055167746
"HILIC_QI14851",0.000108194293893859,-0.0230015425166119,0.0141201515465782,0.103359838801412,0.14217055167746
"C18_QI15652",1.55762120818619e-05,0.0235286839031324,0.014677439864048,0.108966020149287,0.146243869147727
"C18_QI18792",-0.00122410475192689,-0.0208556341330635,0.0134647893331089,0.121448569426276,0.161579401062784
"Docosahexaenoic acid",-0.00653013106485974,-0.0195422503295793,0.0131957691007072,0.13866487788383,0.18249296067943
"LPE 22:6",-0.0124195901610412,-0.0196034020101581,0.013266853104666,0.139553440519564,0.18249296067943
"C18_QI21039",-0.00602553300702689,-0.0184188495885252,0.0131928031477429,0.162719504439075,0.210983764230326
"PE P-40:6 or PE O-40:7",0.000286078178984072,0.017960866062566,0.0129587610498578,0.165791239966036,0.213160165670617
"HILIC_QI03113",0.000497948791264343,-0.0180821401945958,0.0138014016657167,0.190184696611331,0.242485488179448
"C18_QI13534",-0.0111382547184645,-0.0151054506288958,0.0129380375164001,0.243039867237492,0.30731487344906
"C18_QI13541",5.15642406707686e-05,-0.0148881418819075,0.0129492038094381,0.250294908395838,0.313894434299699
"C18_QI13538",-0.0147047437832081,-0.0143125320837102,0.01289663978857,0.267129230781902,0.332282701704317
"C8_QI3132",0.000574317037564649,-0.0146229719983655,0.0132465290528341,0.269670198748107,0.332738229100486
"C18_QI13002",-0.0115305041824054,-0.0133459057307326,0.0128607094030362,0.299433545600996,0.366506659815619
"C8_QI5120",0.000439104001450266,-0.0140472306503134,0.0137463427219851,0.306868261502666,0.37262574611038
"C18_QI13537",0.000756651765531423,-0.0133330828117823,0.0132567240596069,0.31456775458259,0.378967452371152
"C8_QI7297",8.26629855310934e-05,-0.0142874153400862,0.0150479168405168,0.342416863409876,0.409295157044617
"HILIC_QI14075",0.000113941987800723,0.0130142309302873,0.0145674711223293,0.371685928604958,0.44083679904309
"C18_QI12574",-1.63007967513102e-05,-0.0119660161695939,0.0136135107574159,0.379440882219061,0.446572730611664
"PC O-38:6",4.7675157030624e-05,0.0123285752141515,0.0142599855852343,0.387310828115967,0.452355394669794
"PE 38:6",0.000379815890135782,-0.0106805897805682,0.0128918677086068,0.407432313334089,0.472251090455421
"C18_QI13640",-0.000100354037488984,-0.00918895735047516,0.0136564384165866,0.50105539448329,0.576402070345438
"C18_QI16867",0.000109313098731914,-0.0087892194199074,0.014180856739022,0.535412917085771,0.611329673985993
"PC P-38:6 or PC O-38:7",0.000599846402405945,0.00782890239750124,0.0128867749714752,0.543529547750252,0.616000154116952
"C8_QI7070",0.000276662740999578,-0.00832531345528298,0.0141090265279833,0.555162760777679,0.624558105874889
"C8_QI1850",0.000619384972353525,-0.00864108998973806,0.015539596202734,0.578180270230938,0.636414254282975
"C8_QI8654",-8.49640785164638e-06,-0.00809537166170663,0.0144606737279452,0.575619357831889,0.636414254282975
"C18_QI46781",0.0001429253505709,-0.00776216587185299,0.0137672483695139,0.572897759499773,0.636414254282975
"C18_QI46812",0.000151291216644831,-0.00721912282447906,0.0138356532895854,0.601841227851188,0.657726484723084
"C8_QI8066",0.000132814058611185,-0.00729624069858701,0.0143518813850338,0.611200667451,0.663217745531936
"C8_QI7760",0.00011676148729643,-0.00735987475783041,0.0149382096128098,0.622247884107969,0.670450184989572
"C18_QI13014",-0.0116455381393913,-0.00599742109711375,0.0129826625162088,0.644127154258524,0.689171011199679
"TG 55:6",0.000195119459371489,0.00600553750711988,0.015057175374463,0.690016252624077,0.728086114837819
"HILIC_QI14962",0.000287173236369266,-0.00589021468146184,0.0146612869250904,0.687877266829874,0.728086114837819
"PC P-40:6 or PC O-40:7_B",-2.93268077726514e-05,0.00479562127504504,0.0138976027102195,0.730053271166642,0.765055825263673
"C8_QI2435",0.000314868922495206,-0.00466463213618956,0.0143927870879228,0.745875022582182,0.776318901054924
"C18_QI21963",0.000215328118164846,-0.00375663071994912,0.0139284947359868,0.787392674145407,0.813993778001671
"C18_QI19318",7.57795504978298e-05,0.00294576734394943,0.0135227203790152,0.827561044333834,0.849777448208568
"HILIC_QI14950",5.54791025286849e-05,-0.00217250505474201,0.0133473030049289,0.870706237099324,0.88812036184131
"Docosapentaenoic acid (22n-6)",0.000297927234175959,0.000622259480573177,0.0138659626033733,0.964206782965927,0.976291057636837
"PE P-38:6 or PE O-38:7",0.000633684006257058,-0.000488803957395966,0.0129579200134261,0.969910070332021,0.976291057636837
"PE 40:6",0.000342662603472278,0.000196273280712868,0.0131046777520549,0.988050721544671,0.988050721544671
