"Metabolite","Estimate"
"C18_QI13537",0.000756651765531423
"C18_QI13538",-0.0147047437832081
"C18_QI13627",-0.00699988612014584
"C18_QI13636",-0.0163960754357508
"C18_QI13637",-0.0202029984090848
"C18_QI13639",-0.0185300627267025
"C18_QI13640",-0.000100354037488984
"C18_QI13642",-0.0175935518648252
"C18_QI14104",1.73610063697129e-05
"C18_QI15160",0.00468628204153583
"C18_QI15652",1.55762120818619e-05
"C18_QI16352",0.000283003629176698
"C18_QI16867",0.000109313098731914
"C18_QI17491",0.000135952183526203
"C18_QI18689",0.00180205239097114
"C18_QI18681",0.000477301695478871
"C18_QI18792",-0.00122410475192689
"C18_QI19318",7.57795504978298e-05
"C18_QI19592",0.0030170635865557
"C18_QI19734",0.0021153449515197
"C18_QI19857",0.0128221457984808
"C18_QI19930",0.000426155452202252
"C18_QI20106",-7.90777403898832e-06
"C18_QI20356",0.0103009049422463
"C18_QI21039",-0.00602553300702689
"C18_QI21046",0.000725621201019653
"C18_QI21963",0.000215328118164846
"HILIC_CAR.13.0",0.000117569719903217
"HILIC_CAR.16.4",3.53322641867212e-05
"HILIC_PC.P.36.5.or.PC.O.36.6",0.000407158992917366
"HILIC_PC.P.35.1.or.PC.O.35.2",0.0003667091253566
"HILIC_PC.P.38.6.or.PC.O.38.7",0.000599846402405945
"HILIC_LPE.22.6",-0.0124195901610412
"HILIC_PE.P.35.2.or.PE.O.35.3",0.00431300035737244
"HILIC_PE.P.38.6.or.PE.O.38.7",0.000633684006257058
"HILIC_PE.P.38.4.or.PE.O.38.5",0.000427278988473359
"HILIC_PE.P.40.6.or.PE.O.40.7",0.000286078178984072
"HILIC_PE.38.6",0.000379815890135782
"HILIC_PE.40.6",0.000342662603472278
"HILIC_QI03113",0.000497948791264343
"HILIC_QI03469",0.0103279435468095
"HILIC_QI03413",-7.52491379881192e-05
"HILIC_QI04038",5.97252675007134e-05
"HILIC_QI04484",0.000293209282490776
"HILIC_QI06581",0.000113089870520529
"HILIC_QI14027",0.000132237773320243
"HILIC_QI14075",0.000113941987800723
"HILIC_QI14851",0.000108194293893859
"HILIC_QI14871",0.000265490887047895
"HILIC_QI14939",0.00672475745334541
"HILIC_QI14950",5.54791025286849e-05
"HILIC_QI14962",0.000287173236369266
"HILIC_QI16652",-0.00521946965561681
"HILIC_QI18275",5.01898657240624e-05
"HILIC_QI18984",0.0172407189836653
"HILIC_QI19128",0.00138185019605945
"HILIC_QI19305",-4.34423358717053e-05
